Constellation, Average Colinearity, Same Constellations Accross Cultures 
CON western_rey Uma,2.21470492808216, 1
CON arabic_al-sufi Eri,2.2122279315615376, 1
CON arabic_al-sufi UMa,2.210846653790187, 1
CON korean 232,2.2076585282879706, 1
CON western_hlad Vol,2.2070108555344596, 1
CON chinese 119,2.206015454407229, 1
CON ruelle Cen,2.2055670709625717, 1
CON chinese 275,2.205050510495887, 1
CON chinese 278,2.2014428839048374, 1
CON korean 144,2.2013672604444987, 1
CON western_rey Lyr,2.199826001258463, 1
CON chinese 148,2.196072918297693, 1
CON bugis 002,2.1948428089188683, 1
CON bugis 006,2.1921016766238175, 1
CON western Aps,2.1889153853085945, 2
CON lokono 003,2.1884270172731877, 1
CON romanian Prb,2.187713839117774, 1
CON macedonian 002,2.1854990687731375, 1
CON navajo 006,2.185291650385574, 1
CON western_SnT Leo,2.1851465757739015, 1
CON arabic_arabian_peninsula 2803,2.1837642538593474, 3
CON western Hya,2.1829805169328615, 2
#CON macedonian 001,2.182849873001349, 11
CON western_hlad Lep,2.1811563985121736, 1
CON western_hlad Lup,2.1802558805793466, 1
CON chinese 134,2.1783378538228453, 1
CON chinese 287,2.177434716251807, 1
CON korean 043,2.1772346622426775, 1
CON western_hlad Boo,2.175998929535326, 1
CON western_SnT Sgr,2.175617738777622, 1
CON korean 048,2.173197145914406, 1
CON chinese 130,2.1712214542369894, 1
CON bugis 001,2.17015020495908, 1
CON korean 248,2.1699081776669567, 1
CON western_rey Lac,2.1689504055201065, 2
CON korean 112,2.1684093875605215, 1
CON chinese 228,2.1674790889085784, 1
CON chinese 210,2.1639828343734906, 1
CON boorong Nln,2.1607171993931606, 1
CON romanian Gem,2.1605050455141592, 1
CON mandar 002,2.1584360970961294, 1
CON tukano 006,2.1576807648298875, 1
CON arabic_al-sufi Dra,2.157034087952823, 1
CON egyptian 016,2.155568975909145, 1
CON western_SnT Aur,2.1555293286038353, 1
CON western Tuc,2.153476615558414, 2
CON western_hlad Cet,2.151127927553769, 1
CON ruelle Leo,2.1503038930969187, 1
CON western_rey LMi,2.148543963879466, 2
CON western Lup,2.1481256077539004, 2
CON ruelle Cas,2.146273446870839, 1
CON western_rey PsA,2.1459075833581593, 2
CON western Ser,2.14504919941902, 2
#CON western UMi,2.1447947770508193, 9
CON arabic_al-sufi UMi,2.1447947770508193, 1
CON arabic_al-sufi Cet,2.1440642533319965, 1
CON western_rey Dor,2.143157298494676, 2
CON boorong Ktc,2.1430949257317726, 1
CON western_rey Boo,2.1411464294167852, 1
CON western_rey Ari,2.1410764496017185, 1
CON arabic_al-sufi Crv,2.140817483058052, 1
CON western_rey Cet,2.140439600221755, 1
CON ruelle Cep,2.1396776834725277, 1
CON western_rey Eri,2.131873561601843, 1
CON arabic_ancient 4207,2.1243477896642498, 1
CON sardinian 007,2.1235844486690927, 1
CON western Del,2.1235578086611655, 4
CON western_hlad Del,2.1235577198966897, 1
CON western_SnT Cet,2.1221101285752115, 1
CON western Mon,2.1206458148890723, 2
CON korean 129,2.119553119618013, 1
CON boorong Wpl,2.1150629203543936, 1
CON chinese 212,2.114728122361748, 1
CON anutan 006,2.113754267152166, 1
CON western Gru,2.1137346387233027, 3
CON romanian Vir,2.1087774692785493, 1
CON mandar 001,2.1063668759112697, 1
CON chinese 095,2.1052782574345543, 1
CON western_rey Cep,2.1051741117349176, 1
CON western Aur,2.1020501513669108, 4
CON anutan 009,2.1012581164299613, 1
CON chinese 286,2.1001137486842936, 1
CON arabic_arabian_peninsula 2650,2.0989169050116003, 1
CON western_hlad Tuc,2.0982283664261696, 2
CON western_rey Cnc,2.0978783378006667, 1
CON korean 016,2.095854277897327, 1
CON korean 074,2.0951887211790727, 1
CON korean 228,2.0947870341961923, 1
CON romanian Tau,2.094782378313856, 2
CON chinese 125,2.0941536963919445, 1
CON chinese 316,2.093721342015448, 1
CON chinese 255,2.0913877507341714, 1
CON chinese 242,2.0874946387484674, 1
CON macedonian 005,2.0870913571695913, 1
CON chinese 195,2.0856010067257573, 1
CON ruelle Ser,2.083524411592195, 1
CON korean 197,2.082212539465293, 2
CON ruelle Vir,2.079483106885483, 1
CON inuit 010,2.076797893649086, 1
CON western_hlad PsA,2.073150344420328, 1
CON sardinian 002,2.071614753907225, 1
CON arabic_arabian_peninsula 3099,2.0707126347501315, 3
