Constellation, Average Equal Spacing, Same Constellations Accross Cultures 
CON western_hlad Aqr,0.12052511678410145, 1
CON western_hlad Pav,0.12065267460124443, 1
CON arabic_al-sufi PsA,0.12095335351375575, 1
CON macedonian 003,0.1209700712473134, 1
CON northern_andes 004,0.12097102754635657, 1
CON ruelle Tau,0.12125544194211374, 1
CON boorong Lnk,0.12143975662350528, 1
CON western Ser,0.12158843438656218, 2
CON arabic_al-sufi SFB,0.12160974537022859, 1
CON chinese 167,0.12163923250375949, 1
CON korean 249,0.12190557731359553, 1
CON western_hlad PsA,0.12222006889659835, 1
CON chinese 120,0.12235115711099959, 1
CON arabic_al-sufi Cen,0.12272426727256326, 1
CON inuit 010,0.1227304448364385, 1
CON chinese 043,0.12298287845808345, 1
CON northern_andes 001,0.12331546654752189, 1
CON korean 011,0.12349867345916021, 1
CON chinese 272,0.1235762342351043, 1
CON western_rey Oph,0.12375957852335193, 1
CON hawaiian_starlines KAO,0.12383242686614465, 1
CON chinese 046,0.12410328401419687, 1
CON korean 272,0.12410632539557266, 1
CON arabic_ancient 2008,0.12410715154531529, 1
CON western_rey Hya,0.12430091088888172, 1
CON arabic_al-sufi Hya,0.12432495481531876, 1
CON chinese 263,0.12461672466792427, 1
CON northern_andes 003,0.12488317063312332, 1
CON chinese 134,0.1250616172208438, 1
CON korean 059,0.1253075133752115, 1
CON tukano 001,0.125688110151207, 1
CON chinese 054,0.1259481483788809, 1
CON arabic_ancient 2599,0.12606505312796376, 1
